origin_name,verify_name,url
“日向”级直升机母舰,<em>日向级直升机</em>,https://baike.baidu.com/item/%E6%97%A5%E5%90%91%E7%BA%A7%E7%9B%B4%E5%8D%87%E6%9C%BA%E9%A9%B1%E9%80%90%E8%88%B0/9075808
CVL-29/巴丹号/Bataan航空母舰,<em>巴丹号</em>,https://baike.baidu.com/item/%E5%B7%B4%E4%B8%B9%E5%8F%B7/3212678
CV-6/“企业”号航空母舰/Enterprise,<em>企业号航空母舰</em>,https://baike.baidu.com/item/%E4%BC%81%E4%B8%9A%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/32607
CVL-26/蒙特里号/Monterey航空母舰,<em>蒙特里号</em>,https://baike.baidu.com/item/%E8%92%99%E7%89%B9%E9%87%8C%E5%8F%B7/3212100
“埃塞克斯”号(CV-9)航空母舰,<em>埃塞克斯</em>,https://baike.baidu.com/item/%E5%9F%83%E5%A1%9E%E5%85%8B%E6%96%AF%E7%BA%A7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3208649
CVL-28/卡伯特号/Cabot航空母舰,<em>卡伯特号航空母舰</em>,https://baike.baidu.com/item/%E5%8D%A1%E4%BC%AF%E7%89%B9%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/296115
CV-47/菲律宾海号/航空母舰,<em>菲律宾海号航空母舰</em>,https://baike.baidu.com/item/%E8%8F%B2%E5%BE%8B%E5%AE%BE%E6%B5%B7%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1377410
CV-45/福吉谷号/航空母舰,<em>福吉谷号航空母舰</em>,https://baike.baidu.com/item/%E7%A6%8F%E5%90%89%E8%B0%B7%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/8148064
CV-36/安提但号/航空母舰,<em>安提但号航空母舰</em>,https://baike.baidu.com/item/%E5%AE%89%E6%8F%90%E4%BD%86%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/8160329
CV-3/萨拉托加号/Saratoga　航空母舰,<em>萨拉托加号航空母舰</em>,https://baike.baidu.com/item/%E8%90%A8%E6%8B%89%E6%89%98%E5%8A%A0%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/5236997
CV-14/提康德罗加号/航空母舰,<em>提康德罗加号航空母舰</em>,https://baike.baidu.com/item/%E6%8F%90%E5%BA%B7%E5%BE%B7%E7%BD%97%E5%8A%A0%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1437748
CV-38/香格里拉号/航空母舰,<em>香格里拉号航空母舰</em>,https://baike.baidu.com/item/%E9%A6%99%E6%A0%BC%E9%87%8C%E6%8B%89%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1360751
CV-4/游骑兵号/Ranger航空母舰,<em>游骑兵号航空母舰</em>,https://baike.baidu.com/item/%E6%B8%B8%E9%AA%91%E5%85%B5%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/8310392
CV-19/汉科克号/航空母舰,<em>汉科克号航空母舰</em>,https://baike.baidu.com/item/%E6%B1%89%E7%A7%91%E5%85%8B%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1377576
CV-5/约克城号航空母舰/Yorktown,<em>约克城号航空母舰</em>,https://baike.baidu.com/item/%E7%BA%A6%E5%85%8B%E5%9F%8E%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1415902
CV-2/列克星顿号/Lexington 航空母舰,<em>列克星</em>,https://baike.baidu.com/item/%E5%88%97%E5%85%8B%E6%98%9F%E6%95%A6%E7%BA%A7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/2049172
CV-37/普林斯顿号/航空母舰,<em>普林斯顿号航空母舰</em>,https://baike.baidu.com/item/%E6%99%AE%E6%9E%97%E6%96%AF%E9%A1%BF%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1438648
“大黄蜂”号航空母舰（CV-8）/Hornet,<em>大黄蜂号航空母舰(大黄蜂号航空母舰(</em>,https://baike.baidu.com/item/%E5%A4%A7%E9%BB%84%E8%9C%82%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1446332
胡蜂号航空母舰（CV-18）,黄蜂,/item/%E9%BB%84%E8%9C%82%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/22591270
Yorktown/约克城级,<em>约克城号</em>,https://baike.baidu.com/item/%E7%BA%A6%E5%85%8B%E5%9F%8E%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1415902
CV-11/勇猛号航空母舰,勇敢级,https://baike.baidu.com/item/%E5%8B%87%E6%95%A2%E7%BA%A7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/10433891
“巴丹”号航空母舰（CVL-29）/Bataan,<em>巴丹号航空母舰</em>,https://baike.baidu.com/item/%E5%B7%B4%E4%B8%B9%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/3670258
“邦克山”号航空母舰（CV-17）,<em>邦克山号航空母舰</em>,https://baike.baidu.com/item/%E9%82%A6%E5%85%8B%E5%B1%B1%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1360162
CV-16/列克星敦号 航空母舰,<em>列克星敦号航空母舰</em>,https://baike.baidu.com/item/%E5%88%97%E5%85%8B%E6%98%9F%E6%95%A6%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/12978734
“富兰克林”号航空母舰(CV-13) ,<em>富兰克林号航空母舰</em>,https://baike.baidu.com/item/%E5%AF%8C%E5%85%B0%E5%85%8B%E6%9E%97%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1450784
CV-32莱特号航空母舰,<em>莱特号航空母舰</em>,https://baike.baidu.com/item/%E8%8E%B1%E7%89%B9%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1377393
CV-33/奇沙冶号,<em>奇沙冶号</em>,https://baike.baidu.com/item/%E5%A5%87%E6%B2%99%E5%86%B6%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/8173077
“好人理查德”号航空母舰(CV-31),<em>好人理查德号航空母舰</em>,https://baike.baidu.com/item/%E5%A5%BD%E4%BA%BA%E7%90%86%E6%9F%A5%E5%BE%B7%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/1450850
CV-12/大黄蜂号,<em>大黄蜂号</em>,/item/%E5%A4%A7%E9%BB%84%E8%9C%82%E5%8F%B7%E8%88%AA%E7%A9%BA%E6%AF%8D%E8%88%B0/22567066
