origin_name,verify_name,('_name' 5),url
B-26/JM“劫掠者”,B-26,('B-26' 4),https://baike.baidu.com/item/B-26%E8%BD%B0%E7%82%B8%E6%9C%BA/10190922
B/KB-50“超级堡垒”,B,('B' 1),/item/B-50%E8%B6%85%E7%BA%A7%E5%A0%A1%E5%9E%92%E8%BD%B0%E7%82%B8%E6%9C%BA
TBF/TBM“复仇者”,TBF复仇者,('TBF' 3),https://baike.baidu.com/item/TBF%E5%A4%8D%E4%BB%87%E8%80%85%E5%BC%8F%E9%B1%BC%E9%9B%B7%E8%BD%B0%E7%82%B8%E6%9C%BA/6686689
BTD “毁灭者”,BTD,('BTD' 3),/item/BTD%20%E2%80%9C%E6%AF%81%E7%81%AD%E8%80%85%E2%80%9D%E9%B1%BC%E9%9B%B7%E8%BD%B0%E7%82%B8%E6%9C%BA
B-34/37和PV“文图拉”/“捕鲸叉” ,B-34,('B-34' 4),/item/B-34%E8%BD%B0%E7%82%B8%E6%9C%BA
A/B-26/JD“入侵者”,<em>26</em>,('26' 2),https://baike.baidu.com/item/A-26%E6%88%98%E6%96%97%E8%BD%B0%E7%82%B8%E6%9C%BA/1857887
B-25/PBJ“米切尔”,B-25,('B-25' 4),/item/B-25J%E8%BD%B0%E7%82%B8%E6%9C%BA
B-1B“枪骑兵”,<em>B-1B</em>,('B-1B' 4),/item/%E7%BD%97%E5%85%8B%E9%9F%A6%E5%B0%94B-1B%E2%80%9C%E6%9E%AA%E9%AA%91%E5%85%B5%E2%80%9D%E6%88%98%E7%95%A5%E8%BD%B0%E7%82%B8%E6%9C%BA
A-20“浩劫”,A-20,('A-20' 4),https://baike.baidu.com/item/A-20%E6%94%BB%E5%87%BB%E6%9C%BA/9174917
SBU,SBU,('SBU' 3),https://baike.baidu.com/item/SBU
B-36“和平卫士”,B-36,('B-36' 4),https://baike.baidu.com/item/B-36/9024813
马丁BM,马丁BM,('马丁BM' 4),/item/%E9%A9%AC%E4%B8%81BM%E8%BD%B0%E7%82%B8%E6%9C%BA
B-58“盗贼”,B-58,('B-58' 4),https://baike.baidu.com/item/B-58%E8%BD%B0%E7%82%B8%E6%9C%BA/684062
B-10/12/14,B-10,('B-10' 4),/item/B-10%E4%B8%AD%E5%9E%8B%E8%BD%B0%E7%82%B8%E6%9C%BA
B-66“破坏者”,<em>B-66</em>,('B-66' 4),https://baike.baidu.com/item/%E9%81%93%E6%A0%BC%E6%8B%89%E6%96%AFB-66%E2%80%9C%E6%AF%81%E7%81%AD%E8%80%85%E2%80%9D%E8%BD%B0%E7%82%B8%E6%9C%BA/13032132
B-23“龙”,B-23,('B-23' 4),/item/B-23%20%E8%BD%B0%E7%82%B8%E6%9C%BA
诺思罗普BT,诺思罗普BT,('诺思罗普BT' 6),/item/%E8%AF%BA%E6%80%9D%E7%BD%97%E6%99%AEBT%E4%BF%AF%E5%86%B2%E8%BD%B0%E7%82%B8%E6%9C%BA
凯斯通轻型轰炸机系列,凯斯通轻型轰炸机系列,('凯斯通轻型轰炸机系列' 10),https://baike.baidu.com/item/%E5%87%AF%E6%96%AF%E9%80%9A%E8%BD%BB%E5%9E%8B%E8%BD%B0%E7%82%B8%E6%9C%BA%E7%B3%BB%E5%88%97
A-31/35“复仇者”,A,('A' 1),/item/A-35%E8%BD%B0%E7%82%B8%E6%9C%BA
MB-2/NBS-1,MB-2/NBS-1,('MB-2/NBS-1' 10),/item/MB-2%2FNBS-1%E8%BD%B0%E7%82%B8%E6%9C%BA
F-51D“野马”MK2 ,F-51D,('F-51D' 5),/item/F-51D%E2%80%9C%E9%87%8E%E9%A9%AC%E2%80%9DMK2%E8%BD%B0%E7%82%B8%E6%9C%BA
Fi 167鱼雷轰炸机,Fi,('Fi' 2),https://baike.baidu.com/item/Fi-167%E8%88%B0%E8%BD%BD%E4%BE%A6%E5%AF%9F%2F%E9%B1%BC%E9%9B%B7%E6%94%BB%E5%87%BB%E6%9C%BA/9405116
R.VI轰炸机,<em>轰炸机</em>,('轰炸机' 3),/item/%E7%BB%8F%E5%85%B8%E8%BD%B0%E7%82%B8%E6%9C%BA-%E7%81%AB%E5%8A%9B
D4Y彗星舰载俯冲轰炸机,彗星,('彗星' 2),https://baike.baidu.com/item/%E5%BD%97%E6%98%9F%E5%BC%8F%E8%88%B0%E8%BD%BD%E4%BF%AF%E5%86%B2%E8%BD%B0%E7%82%B8%E6%9C%BA/5797203
G3M/九六式陆上攻击机,九六式陆上攻击机,('九六式陆上攻击机' 8),https://baike.baidu.com/item/%E4%B9%9D%E5%85%AD%E5%BC%8F%E9%99%86%E4%B8%8A%E6%94%BB%E5%87%BB%E6%9C%BA/7612634
He 115水上轰炸机,He115,('115' 3),https://baike.baidu.com/item/He115%E9%B1%BC%E9%9B%B7%E8%BD%B0%E7%82%B8%E6%9C%BA/7164825
Do 17轰炸机,Do 17轰炸机,('Do 17轰炸机' 8),https://baike.baidu.com/item/Do%2017%E8%BD%B0%E7%82%B8%E6%9C%BA
Do 335箭式战斗机,Do335箭式战斗机,('335箭式战斗机' 8),https://baike.baidu.com/item/Do335%E7%AE%AD%E5%BC%8F%E6%88%98%E6%96%97%E6%9C%BA/423812
G5N深山/13试陆基轰炸机,G5N深山,('G5N深山' 5),/item/G5N%E6%B7%B1%E5%B1%B1
Ar 234闪电式轰炸机,<em>Ar</em>,('Ar' 2),https://baike.baidu.com/item/%E5%BE%B7%E5%9B%BDAr-234%E8%BD%B0%E7%82%B8%E6%9C%BA/2948920
Bf 162轰炸机,Bf 162轰炸机,('Bf 162轰炸机' 9),https://baike.baidu.com/item/Bf%20162%E8%BD%B0%E7%82%B8%E6%9C%BA
大湖BG-1,大湖BG-1,('大湖BG-1' 6),/item/%E5%A4%A7%E6%B9%96BG-1%E8%BD%B0%E7%82%B8%E6%9C%BA
Do 217轰炸机,Do217轰炸机,('217轰炸机' 6),https://baike.baidu.com/item/Do217%E8%BD%B0%E7%82%B8%E6%9C%BA/7050770
He 118俯冲轰炸机,<em>轰炸机</em>,('轰炸机' 3),https://baike.baidu.com/item/%E6%96%AF%E5%9B%BE%E5%8D%A1/1333673
G8N连山重轰炸机,<em>G8N</em>,('G8N' 3),https://baike.baidu.com/item/%E4%B8%AD%E5%B2%9BG8N%E2%80%9C%E8%BF%9E%E5%B1%B1%E2%80%9D%E9%87%8D%E8%BD%B0%E7%82%B8%E6%9C%BA/5816783
He 177鹰狮式轰炸机,<em>He</em>,('He' 2),https://baike.baidu.com/item/%E4%BA%A8%E5%85%8B%E5%B0%94He-177%E8%BD%B0%E7%82%B8%E6%9C%BA/2004973
Ju 87斯图卡俯冲轰炸机,JU,('J' 1),https://baike.baidu.com/item/JU-87%E8%BD%B0%E7%82%B8%E6%9C%BA/3300112
Ju 88轰炸机,<em>88轰炸机</em>,('88轰炸机' 5),https://baike.baidu.com/item/%E5%AE%B9%E5%85%8B-88%E8%BD%B0%E7%82%B8%E6%9C%BA/1478255
He 111轰炸机,He 111轰炸机,('He 111轰炸机' 9),https://baike.baidu.com/item/He%20111%E8%BD%B0%E7%82%B8%E6%9C%BA
Hs 132轰炸机,Hs 132轰炸机,('Hs 132轰炸机' 9),https://baike.baidu.com/item/Hs%20132%E8%BD%B0%E7%82%B8%E6%9C%BA
Ju 188轰炸机,Ju,('Ju' 2),/item/Ju%20188
Ju 290轰炸机,Ju 290轰炸机,('Ju 290轰炸机' 9),https://baike.baidu.com/item/Ju%20290%E8%BD%B0%E7%82%B8%E6%9C%BA
Me 264轰炸机,ME,('M' 1),https://baike.baidu.com/item/ME-264%E8%BD%B0%E7%82%B8%E6%9C%BA/684210
D1A九四/九六式俯冲轰炸机,<em>D1A</em>,('D1A' 3),https://baike.baidu.com/item/%E7%88%B1%E7%9F%A5D1A%E5%9E%8B%E8%8B%8F%E8%8C%9C%E8%BD%B0%E7%82%B8%E6%9C%BA/5787199
Ki-66试作急降下爆撃机,ki-66,('i-66' 4),/item/ki-66
D3A“99”式舰载俯冲轰炸机,<em>D3A</em>,('D3A' 3),https://baike.baidu.com/item/%E7%88%B1%E7%9F%A5D3A%2299%22%E5%BC%8F%E8%88%B0%E8%BD%BD%E4%BF%AF%E5%86%B2%E8%BD%B0%E7%82%B8%E6%9C%BA/15226734
Ki-48/99式双发轻爆击机,<em>99式双发</em>,('99式双发' 5),/item/%E5%B7%9D%E5%B4%8E99%E5%BC%8F%E5%8F%8C%E5%8F%91%E8%BD%BB%E5%9E%8B%E8%BD%B0%E7%82%B8%E6%9C%BA
Ki-21/97式重爆击机,九七式重爆击机,('式重爆击机' 5),https://baike.baidu.com/item/%E4%B9%9D%E4%B8%83%E5%BC%8F%E9%87%8D%E7%88%86%E5%87%BB%E6%9C%BA/8787197
Ki-77长距离研究机 ,ki-77,('i-77' 4),/item/ki-77
Ki-67飞龙/四式重爆撃机 ,四式,('四式' 2),/item/%E5%9B%9B%E5%BC%8F%E2%80%9C%E9%A3%9E%E9%BE%99%E2%80%9DKI-67%E8%BD%B0%E7%82%B8%E6%9C%BA
Ki-51/九九式袭撃机,ki-51/九九式,('i-51/九九式' 8),/item/ki-51%2F%E4%B9%9D%E4%B9%9D%E5%BC%8F
B6N天山舰上攻击机,天山,('天山' 2),https://baike.baidu.com/item/%E5%A4%A9%E5%B1%B1%E5%BC%8F%E8%88%B0%E8%BD%BD%E6%94%BB%E5%87%BB%E6%9C%BA/10169736
乌拉尔轰炸机,乌拉尔轰炸机,('乌拉尔轰炸机' 6),https://baike.baidu.com/item/%E4%B9%8C%E6%8B%89%E5%B0%94%E8%BD%B0%E7%82%B8%E6%9C%BA
G10N富士山轰炸机,<em>G10N</em>,('G10N' 4),https://baike.baidu.com/item/%E4%B8%AD%E5%B2%9BG10N%E2%80%9C%E5%AF%8C%E5%A3%AB%E5%B1%B1%E2%80%9D%E9%87%8D%E8%BD%B0%E7%82%B8%E6%9C%BA/5816766
Ki-91试作远距离爆撃机,<em>Ki-91试作远距离爆撃机</em>,('Ki-91试作远距离爆撃机' 13),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=Ki-91%E8%AF%95%E4%BD%9C%E8%BF%9C%E8%B7%9D%E7%A6%BB%E7%88%86%E6%92%83%E6%9C%BA
P1Y 银河轰炸机,P1Y银河,('P1Y' 3),https://baike.baidu.com/item/P1Y%E9%93%B6%E6%B2%B3/4378339
Ki-32/98式俯冲轰炸机,九八式俯冲轰炸机,('式俯冲轰炸机' 6),/item/%E4%B9%9D%E5%85%AB%E5%BC%8F%E4%BF%AF%E5%86%B2%E8%BD%B0%E7%82%B8%E6%9C%BA
哈利法克斯轰炸机,哈利法克斯轰炸机,('哈利法克斯轰炸机' 8),https://baike.baidu.com/item/%E5%93%88%E5%88%A9%E6%B3%95%E5%85%8B%E6%96%AF%E8%BD%B0%E7%82%B8%E6%9C%BA
BF2C单发单座双翼战斗机,BF2C战斗机,('BF2C' 4),/item/BF2C%E6%88%98%E6%96%97%E6%9C%BA
DH98蚊式（Mosquito）轰炸机,<em>蚊</em>,('蚊' 1),/item/%E2%80%9C%E8%9A%8A%E2%80%9D%E5%BC%8F%E8%BD%B0%E7%82%B8%E6%9C%BA
A-16俯冲轰炸机,A-16俯冲轰炸机,('A-16俯冲轰炸机' 9),https://baike.baidu.com/item/A-16%E4%BF%AF%E5%86%B2%E8%BD%B0%E7%82%B8%E6%9C%BA
阿米奥-143（Amiot-143）轰炸机,阿米奥143,('阿米奥' 3),https://baike.baidu.com/item/%E9%98%BF%E7%B1%B3%E5%A5%A5143/564886
巴特尔（Fairey Battle）轰炸机,<em>巴特尔（Fairey Battle）轰炸机</em>,('巴特尔（Fairey Battle）轰炸机' 21),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=%E5%B7%B4%E7%89%B9%E5%B0%94%EF%BC%88Fairey%20Battle%EF%BC%89%E8%BD%B0%E7%82%B8%E6%9C%BA
Ki-30/97式俯冲轰炸机,Ki-30俯冲轰炸机,('Ki-30' 5),/item/Ki-30%E4%BF%AF%E5%86%B2%E8%BD%B0%E7%82%B8%E6%9C%BA
阿米奥-340（Amiot-340）轰炸机,阿米奥,('阿米奥' 3),/item/%E9%98%BF%E7%B1%B3%E5%A5%A5-350%E8%BD%B0%E7%82%B8%E6%9C%BA
TSR-2轰炸机,TSR-2轰炸机,('TSR-2轰炸机' 8),https://baike.baidu.com/item/TSR-2%E8%BD%B0%E7%82%B8%E6%9C%BA
阿米奥-354(Amiot-354)轰炸机,阿米奥,('阿米奥' 3),/item/%E9%98%BF%E7%B1%B3%E5%A5%A5-350%E8%BD%B0%E7%82%B8%E6%9C%BA
A-12俯冲轰炸机,A-12俯冲轰炸机,('A-12俯冲轰炸机' 9),https://baike.baidu.com/item/A-12%E4%BF%AF%E5%86%B2%E8%BD%B0%E7%82%B8%E6%9C%BA
强-6,强-6,('强-6' 3),https://baike.baidu.com/item/%E5%BC%BA-6
阿佛罗兰卡斯特重型轰炸机,<em>阿佛罗兰卡斯特重型轰炸机</em>,('阿佛罗兰卡斯特重型轰炸机' 12),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=%E9%98%BF%E4%BD%9B%E7%BD%97%E5%85%B0%E5%8D%A1%E6%96%AF%E7%89%B9%E9%87%8D%E5%9E%8B%E8%BD%B0%E7%82%B8%E6%9C%BA
布里斯托“波弗特”式鱼雷轰炸机,布里斯托,('布里斯托' 4),https://baike.baidu.com/item/%E5%B8%83%E9%87%8C%E6%96%AF%E6%89%98%E2%80%9C%E6%B3%A2%E5%BC%97%E7%89%B9%E2%80%9D%E9%B1%BC%E9%9B%B7%E8%BD%B0%E7%82%B8%E6%9C%BA/5829091
剑鱼式鱼雷轰炸机（Swordfish）,<em>轰炸机</em>,('轰炸机' 3),https://baike.baidu.com/item/%E6%A2%AD%E9%B1%BC%E5%BC%8F%E8%BD%B0%E7%82%B8%E6%9C%BA/10415017
“胜利者”中程战略轰略机,胜利者中程战略轰炸机,('中程战略轰' 5),https://baike.baidu.com/item/%E8%83%9C%E5%88%A9%E8%80%85%E4%B8%AD%E7%A8%8B%E6%88%98%E7%95%A5%E8%BD%B0%E7%82%B8%E6%9C%BA/2520026
F-107终极佩刀战斗机,F-107终极佩刀战斗机,('F-107终极佩刀战斗机' 12),https://baike.baidu.com/item/F-107%E7%BB%88%E6%9E%81%E4%BD%A9%E5%88%80%E6%88%98%E6%96%97%E6%9C%BA
肖特斯特林（Short Stirling）轰炸机,<em>肖特斯特林（Short Stirling）轰炸机</em>,('肖特斯特林（Short Stirling）轰炸机' 24),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=%E8%82%96%E7%89%B9%E6%96%AF%E7%89%B9%E6%9E%97%EF%BC%88Short%20Stirling%EF%BC%89%E8%BD%B0%E7%82%B8%E6%9C%BA
“布伦海姆”轻型轰炸机,“布伦海姆”轻型轰炸机,('“布伦海姆”轻型轰炸机' 11),https://baike.baidu.com/item/%E2%80%9C%E5%B8%83%E4%BC%A6%E6%B5%B7%E5%A7%86%E2%80%9D%E8%BD%BB%E5%9E%8B%E8%BD%B0%E7%82%B8%E6%9C%BA
“火神”轰炸机,火神轰炸机,('轰炸机' 3),https://baike.baidu.com/item/%E7%81%AB%E7%A5%9E%E8%BD%B0%E7%82%B8%E6%9C%BA/815474
维克斯威灵顿式中型轰炸机,威灵顿式,('威灵顿式' 4),https://baike.baidu.com/item/%E5%A8%81%E7%81%B5%E9%A1%BF%E5%BC%8F%E9%87%8D%E5%9E%8B%E8%BD%B0%E7%82%B8%E6%9C%BA/8850492
梭鱼式(Barracuda)鱼雷轰炸机,梭鱼式轰炸机,('梭鱼式' 3),https://baike.baidu.com/item/%E6%A2%AD%E9%B1%BC%E5%BC%8F%E8%BD%B0%E7%82%B8%E6%9C%BA/10415017
曼彻斯特（Manchester）轰炸机,曼彻斯特轰炸机,('曼彻斯特' 4),https://baike.baidu.com/item/%E6%9B%BC%E5%BD%BB%E6%96%AF%E7%89%B9%E8%BD%B0%E7%82%B8%E6%9C%BA/6311483
PZL.30轰炸机,<em>轰炸机</em>,('轰炸机' 3),https://baike.baidu.com/item/PLZ-37%E8%BD%B0%E7%82%B8%E6%9C%BA/10191001
Ca.90轰炸机,ca.90,('a.90' 4),/item/ca.90
PZL.38轰炸机,<em>轰炸机</em>,('轰炸机' 3),https://baike.baidu.com/item/PLZ-37%E8%BD%B0%E7%82%B8%E6%9C%BA/10191001
雅克-2 轰炸机,雅克-2轰炸机,('雅克-2' 4),/item/%E9%9B%85%E5%85%8B-2%E8%BD%B0%E7%82%B8%E6%9C%BA
PZL.23轰炸机,<em>23轰炸机</em>,('23轰炸机' 5),/item/P.23%E8%BD%B0%E7%82%B8%E6%9C%BA
Ca.3 轰炸机,Ca,('Ca' 2),/item/Ca.30%E8%BD%B0%E7%82%B8%E6%9C%BA
PWS-19轰炸机,<em>PWS-19轰炸机</em>,('PWS-19轰炸机' 9),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=PWS-19%E8%BD%B0%E7%82%B8%E6%9C%BA
BR.20轰炸机,br.20,('.20' 3),/item/br.20
CANT Z.1007-翠鸟轰炸机,<em>Z.1007轰炸机</em>,('Z.1007' 6),https://baike.baidu.com/item/%E6%84%8F%E5%A4%A7%E5%88%A9Z.1007%E8%BD%B0%E7%82%B8%E6%9C%BA/14104626
Ca.4轰炸机,轰炸机,('轰炸机' 3),https://baike.baidu.com/item/%E8%BD%B0%E7%82%B8%E6%9C%BA/987733
PZL.37轰炸机,<em>37轰炸机</em>,('37轰炸机' 5),https://baike.baidu.com/item/PLZ-37%E8%BD%B0%E7%82%B8%E6%9C%BA/10191001
雅克-6双引擎多用途飞机,<em>雅克-6双引擎多用途飞机</em>,('雅克-6双引擎多用途飞机' 12),http://www.baidu.com/s?ie=utf-8&fr=bks0000&wd=%E9%9B%85%E5%85%8B-6%E5%8F%8C%E5%BC%95%E6%93%8E%E5%A4%9A%E7%94%A8%E9%80%94%E9%A3%9E%E6%9C%BA
图-119轰炸机,<em>119轰炸机</em>,('119轰炸机' 6),https://baike.baidu.com/item/%E5%9B%BE%E4%B8%80119%E8%BD%B0%E7%82%B8%E6%9C%BA/9000172
PZL.46轰炸机,<em>轰炸机</em>,('轰炸机' 3),https://baike.baidu.com/item/PLZ-37%E8%BD%B0%E7%82%B8%E6%9C%BA/10191001
图-2/ANT-50轰炸机,图-2轰炸机,('图-2' 3),https://baike.baidu.com/item/%E5%9B%BE-2%E8%BD%B0%E7%82%B8%E6%9C%BA/1243422
PZL.43轰炸机,<em>轰炸机</em>,('轰炸机' 3),/item/P.23%E8%BD%B0%E7%82%B8%E6%9C%BA
幻影IV轰炸机,幻影IV轰炸机,('幻影IV轰炸机' 7),https://baike.baidu.com/item/%E5%B9%BB%E5%BD%B1IV%E8%BD%B0%E7%82%B8%E6%9C%BA
图-4公牛轰炸机,图-4轰炸机,('图-4' 3),https://baike.baidu.com/item/%E5%9B%BE-4%E8%BD%B0%E7%82%B8%E6%9C%BA/3840175
阿米奥-350轰炸机,阿米奥-350轰炸机,('阿米奥-350轰炸机' 10),https://baike.baidu.com/item/%E9%98%BF%E7%B1%B3%E5%A5%A5-350%E8%BD%B0%E7%82%B8%E6%9C%BA
佩-2轻轰炸机,<em>2</em>,('2' 1),https://baike.baidu.com/item/Pe-2/5492242
Pe-8/TB-7重型轰炸机,<em>Pe8重型轰炸机</em>,('重型轰炸机' 5),https://baike.baidu.com/item/%E8%8B%8F%E8%81%94Pe8%E9%87%8D%E5%9E%8B%E8%BD%B0%E7%82%B8%E6%9C%BA/6890206
雅克-4 型侦察/轰炸机,雅克-4,('雅克-4' 4),https://baike.baidu.com/item/%E9%9B%85%E5%85%8B-4/9426434
M-50野蛮人轰炸机,M-50轰炸机,('M-50' 4),https://baike.baidu.com/item/M-50%E8%BD%B0%E7%82%B8%E6%9C%BA/3944572
苏-34/鸭嘴兽战斗轰炸机,苏-34战斗轰炸机,('战斗轰炸机' 5),https://baike.baidu.com/item/%E8%8B%8F-34%E6%88%98%E6%96%97%E8%BD%B0%E7%82%B8%E6%9C%BA/8984766
水轰-5水上反潜轰炸机,水轰五水上轰炸机,('轰炸机' 3),/item/%E6%B0%B4%E8%BD%B0%E4%BA%94%E6%B0%B4%E4%B8%8A%E8%BD%B0%E7%82%B8%E6%9C%BA
B-18轰炸机,B-18轰炸机,('B-18轰炸机' 7),https://baike.baidu.com/item/B-18%E8%BD%B0%E7%82%B8%E6%9C%BA
轰-5轰炸机,轰-5轰炸机,('轰-5轰炸机' 6),https://baike.baidu.com/item/%E8%BD%B0-5%E8%BD%B0%E7%82%B8%E6%9C%BA
K-7巨型轰炸机,k-7,('-7' 2),https://baike.baidu.com/item/k-7/7544184
SB轰炸机,sb,('' 0),https://baike.baidu.com/item/sb/13382532
苏-7/装配匠-A战斗轰炸机,苏-7轰炸机,('苏-7' 3),https://baike.baidu.com/item/%E8%8B%8F-7%E8%BD%B0%E7%82%B8%E6%9C%BA/12010382
伊尔-28战术轰炸机,伊尔-28轰炸机,('伊尔-28' 5),https://baike.baidu.com/item/%E4%BC%8A%E5%B0%94-28%E8%BD%B0%E7%82%B8%E6%9C%BA/15384862
伊尔-4/Il-4/DB-3轰炸机,DB-3轰炸机,('DB-3轰炸机' 7),/item/DB-3%E8%BD%B0%E7%82%B8%E6%9C%BA
SBC俯冲轰炸机,SBC,('SBC' 3),/item/SBC%E2%80%9C%E5%9C%B0%E7%8B%B1%E4%BF%AF%E5%86%B2%E8%80%85%E2%80%9D%E4%BF%AF%E5%86%B2%E8%BD%B0%E7%82%B8%E6%9C%BA
B-1枪骑兵轰炸机,B-1枪骑兵轰炸机,('B-1枪骑兵轰炸机' 9),https://baike.baidu.com/item/B-1%E6%9E%AA%E9%AA%91%E5%85%B5%E8%BD%B0%E7%82%B8%E6%9C%BA
XB-70瓦尔基里轰炸机,XB-70轰炸机,('XB-70' 5),https://baike.baidu.com/item/XB-70%E8%BD%B0%E7%82%B8%E6%9C%BA/5386027
T-1A“苍鹰”,T-1A,('T-1A' 4),/item/T-1A%E2%80%9C%E8%8B%8D%E9%B9%B0%E2%80%9D%E5%96%B7%E6%B0%94%E5%BC%8F%E9%A3%9E%E6%9C%BA
比奇T-42“科奇斯”,比奇T-42,('比奇T-42' 6),/item/%E6%AF%94%E5%A5%87T-42%E2%80%9C%E7%A7%91%E5%A5%87%E6%96%AF%E2%80%9D%E6%95%99%E7%BB%83%E6%9C%BA
N-9教练机,N-9教练机,('N-9教练机' 6),https://baike.baidu.com/item/N-9%E6%95%99%E7%BB%83%E6%9C%BA
40F双座水上教练机,<em>40F水上教练机</em>,('水上教练机' 5),/item/%E8%89%BE%E5%B0%94%E9%A9%AC%E6%9E%9740F%E6%B0%B4%E4%B8%8A%E6%95%99%E7%BB%83%E6%9C%BA
T-34C“涡轮导师”,<em>T-34</em>,('T-34' 4),/item/%E6%AF%94%E5%A5%87T-34%E2%80%9C%E5%AF%BC%E5%B8%88%E2%80%9D%E6%95%99%E7%BB%83%E6%9C%BA
PT/NS“西点军校生”双翼教练机,PT/NS“西点军校生”双翼教练机,('PT/NS“西点军校生”双翼教练机' 17),https://baike.baidu.com/item/PT/NS%E2%80%9C%E8%A5%BF%E7%82%B9%E5%86%9B%E6%A0%A1%E7%94%9F%E2%80%9D%E5%8F%8C%E7%BF%BC%E6%95%99%E7%BB%83%E6%9C%BA
波音C型,波音C型,('波音C型' 4),/item/%E6%B3%A2%E9%9F%B3C%E5%9E%8B%E6%B0%B4%E4%B8%8A%E6%95%99%E7%BB%83%E6%9C%BA
“F飞船”,<em>F飞船</em>,('F飞船' 3),/item/%E2%80%9CF%E9%A3%9E%E8%88%B9%E2%80%9D%E6%B0%B4%E4%B8%8A%E9%A3%9E%E6%9C%BA
教练-8/K-8“喀喇昆仑山”,教练-8/K-8“喀喇昆仑山”,('教练-8/K-8“喀喇昆仑山”' 15),https://baike.baidu.com/item/%E6%95%99%E7%BB%83-8/K-8%E2%80%9C%E5%96%80%E5%96%87%E6%98%86%E4%BB%91%E5%B1%B1%E2%80%9D
39-A双翼飞机,<em>39</em>,('39' 2),/item/%E8%89%BE%E5%B0%94%E9%A9%AC%E6%9E%9739-B
比奇T-34“导师”教练机,比奇T-34“导师”教练机,('比奇T-34“导师”教练机' 13),https://baike.baidu.com/item/%E6%AF%94%E5%A5%87T-34%E2%80%9C%E5%AF%BC%E5%B8%88%E2%80%9D%E6%95%99%E7%BB%83%E6%9C%BA
A-1“推进者”,A-1,('A-1' 3),/item/A-1%E2%80%9C%E6%8E%A8%E8%BF%9B%E8%80%85%E2%80%9D%E6%B0%B4%E4%B8%8A%E6%95%99%E7%BB%83%E6%9C%BA
SOKO G-4“超海鸥” 喷气式武装教练机,G-4,('G-4' 3),/item/G-4%E2%80%9C%E8%B6%85%E6%B5%B7%E9%B8%A5%E2%80%9D%20%E5%96%B7%E6%B0%94%E5%BC%8F%E6%AD%A6%E8%A3%85%E6%95%99%E7%BB%83%E6%9C%BA
雅克-130 高级教练机,雅克-130高级教练机,('雅克-130' 6),https://baike.baidu.com/item/%E9%9B%85%E5%85%8B-130%E9%AB%98%E7%BA%A7%E6%95%99%E7%BB%83%E6%9C%BA/10555026
JN-4“詹尼”,JN-4,('JN-4' 4),/item/JN-4%E6%95%99%E7%BB%83%E6%9C%BA
NB-1双座双翼初级教练机,NB-1初级教练机,('初级教练机' 5),/item/NB-1%E5%88%9D%E7%BA%A7%E6%95%99%E7%BB%83%E6%9C%BA
T67 “萤火虫”基础教练机,<em>教练机</em>,('教练机' 3),/item/T67M%E6%95%99%E7%BB%83%E6%9C%BA
EMB-312 “巨嘴鸟”教练机,巨嘴鸟,('巨嘴鸟' 3),https://baike.baidu.com/item/%E5%B7%A8%E5%98%B4%E9%B8%9F%E6%88%98%E6%96%97%E6%9C%BA/9065716
T-45“苍鹰”中级/高级喷气教练机,T-45教练机,('T-45' 4),https://baike.baidu.com/item/T-45%E6%95%99%E7%BB%83%E6%9C%BA/280579
T2V/T-1“海星”,T2V/T-1,('T2V/T-1' 7),/item/T2V%2FT-1%E2%80%9C%E6%B5%B7%E6%98%9F%E2%80%9D%E6%95%99%E7%BB%83%E6%9C%BA
初教-6A基础教练机,初教,('初教' 2),https://baike.baidu.com/item/%E5%88%9D%E6%95%99-6/8321806
T-33/TV-2 ,T-33/TV-2 ,('T-33/TV-2 ' 10),https://baike.baidu.com/item/T-33/TV-2%20
北美T-28 “特洛伊人/游牧民”,T-28,('T-28' 4),/item/T-28%E2%80%9C%E7%89%B9%E6%B4%9B%E4%BC%8A%E2%80%9D
米格-AT 高级教练机,<em>米格-AT教练机</em>,('米格-AT' 5),https://baike.baidu.com/item/%E4%BF%84%E7%BD%97%E6%96%AF%E7%B1%B3%E6%A0%BC-AT%E6%95%99%E7%BB%83%E6%9C%BA/12576175
T-38“禽爪” 高级教练机,T-38,('T-38' 4),https://baike.baidu.com/item/T-38%E2%80%9C%E7%A6%BD%E7%88%AA%E2%80%9D(Talon)%E6%95%99%E7%BB%83%E6%9C%BA/15272293
T-6A“德克萨斯人II”,T,('T' 1),/item/T-6%E2%80%9C%E5%BE%B7%E5%85%8B%E8%90%A8%E6%96%AF%E4%BA%BA%E2%80%9D%E2%85%A1%E9%AB%98%E7%BA%A7%E6%B6%A1%E8%BD%AE%E8%9E%BA%E6%97%8B%E6%A1%A8%E6%95%99%E7%BB%83%E6%9C%BA
AT-8/17/UC-78“短尾猫”,AT-8,('AT-8' 4),/item/AT-8%E2%80%9C%E7%9F%AD%E5%B0%BE%E7%8C%AB%E2%80%9D%E6%95%99%E7%BB%83%E6%9C%BA
